xenocanto_11_2,ebird2022_species,comment
batrachostomus hodgsoni,hodfro1,Exact match
batrachostomus poliolophus,shtfro3,Exact match
batrachostomus mixtus,shtfro2,Exact match
batrachostomus javensis,javfro3,Exact match
batrachostomus affinis,javfro2,Exact match
batrachostomus chaseni,palfro1,Exact match
batrachostomus cornutus,sunfro1,Exact match
aegotheles insignis,feonig1,Exact match
aegotheles tatei,spaown1,Exact match
aegotheles crinifrons,molown1,Exact match
aegotheles wallacii,waonig1,Exact match
aegotheles albertisi,moonig1,Exact match
aegotheles savesi,nconig1,Exact match
aegotheles bennettii,barown1,Exact match
aegotheles affinis,barown2,Exact match
aegotheles cristatus,auonig1,Exact match
hemiprocne coronata,cretre1,Exact match
hemiprocne comata,whitre1,Exact match
hemiprocne mystacea,moutre1,Exact match
cypseloides cherriei,spfswi1,Exact match
cypseloides cryptus,whcswi1,Exact match
cypseloides storeri,whfswi1,Exact match
cypseloides fumigatus,sooswi1,Exact match
cypseloides rothschildi,rotswi1,Exact match
cypseloides lemosi,whcswi2,Exact match
cypseloides senex,grdswi1,Exact match
streptoprocne phelpsi,tepswi1,Exact match
streptoprocne rutila,chcswi1,Exact match
streptoprocne zonaris,whcswi,Exact match
streptoprocne biscutata,bisswi1,Exact match
streptoprocne semicollaris,whnswi1,Exact match
collocalia affinis,pltswi1,Exact match
collocalia isonota,ridswi1,Exact match
collocalia sumbawae,tenswi1,Exact match
collocalia neglecta,draswi1,Exact match
collocalia esculenta,gloswi1,Exact match
collocalia uropygialis,satswi1,Exact match
collocalia dodgei,cavswi3,Exact match
collocalia linchi,cavswi2,Exact match
collocalia natalis,chiswi1,Exact match
collocalia troglodytes,pygswi2,Exact match
aerodramus elaphrus,seyswi1,Exact match
aerodramus francicus,masswi1,Exact match
aerodramus unicolor,indswi1,Exact match
aerodramus mearnsi,phiswi1,Exact match
aerodramus infuscatus,molswi3,Exact match
aerodramus sororum,molswi4,Exact match
aerodramus ceramensis,molswi1,Exact match
aerodramus hirundinaceus,mouswi2,Exact match
aerodramus spodiopygius,whrswi2,Exact match
aerodramus terraereginae,ausswi1,Exact match
aerodramus brevirostris,himswi2,Exact match
aerodramus vulcanorum,volswi1,Exact match
aerodramus whiteheadi,whiswi1,Exact match
aerodramus nuditarsus,balswi1,Exact match
aerodramus orientalis,mayswi1,Exact match
aerodramus salangana,monswi2,Exact match
aerodramus vanikorensis,uniswi1,Exact match
aerodramus amelis,palswi2,Exact match
aerodramus pelewensis,palswi1,Exact match
aerodramus bartschi,marswi,Exact match
aerodramus sawtelli,atiswi1,Exact match
aerodramus ocistus,marswi2,Exact match
aerodramus maximus,blnswi1,Exact match
aerodramus germani,gerswi1,Exact match
aerodramus papuensis,papswi1,Exact match
schoutedenapus myoptilus,scaswi1,Exact match
zoonavena grandidieri,malspi1,Exact match
zoonavena thomensis,satspi1,Exact match
telacanthura ussheri,motspi1,Exact match
telacanthura melanopygia,blaspi1,Exact match
rhaphidura sabini,sabspi1,Exact match
neafrapus cassini,casspi1,Exact match
hirundapus caudacutus,whtnee,Exact match
hirundapus cochinchinensis,sibnee1,Exact match
hirundapus giganteus,brbnee1,Exact match
hirundapus celebensis,purnee1,Exact match
chaetura spinicaudus,barswi,Exact match
chaetura martinica,leaswi1,Exact match
chaetura fumosa,corswi,Exact match
chaetura egregia,parswi1,Exact match
chaetura pelagica,chiswi,Exact match
chaetura vauxi,vauswi,Exact match
chaetura chapmani,chaswi2,Exact match
chaetura andrei,astswi1,Exact match
chaetura meridionalis,sicswi1,Exact match
chaetura brachyura,shtswi1,Exact match
aeronautes saxatalis,whtswi,Exact match
aeronautes montivagus,whtswi1,Exact match
aeronautes andecolus,andswi1,Exact match
tachornis phoenicobia,anpswi,Exact match
tachornis furcata,pygswi1,Exact match
panyptila sanctihieronymi,gstswi1,Exact match
panyptila cayennensis,lstswi1,Exact match
cypsiurus parvus,afpswi1,Exact match
cypsiurus gracilis,malpas1,Exact match
cypsiurus balasiensis,aspswi1,Exact match
apus apus,comswi,Exact match
apus unicolor,plaswi1,Exact match
apus niansae,nyaswi1,Exact match
apus pallidus,palswi3,Exact match
apus berliozi,fowswi1,Exact match
apus bradfieldi,braswi1,Exact match
apus pacificus,fotswi,Exact match
apus salimalii,saaswi1,Exact match
apus leuconyx,blyswi1,Exact match
apus cooki,cooswi1,Exact match
apus acuticauda,darswi1,Exact match
apus affinis,litswi1,Exact match
apus nipalensis,houswi1,Exact match
apus horus,horswi1,Exact match
apus caffer,whrswi1,Exact match
apus batesi,batswi1,Exact match
topaza pella,critop1,Exact match
topaza pyra,fietop1,Exact match
florisuga mellivora,whnjac1,Exact match
florisuga fusca,blkjac1,Exact match
