birdnet,ebird2021,comment
Cecropis abyssinica,lessts1,
Cecropis daurica,rerswa1,
Celeus elegans,chewoo2,
Celeus flavescens,blcwoo2,
Celeus flavus,crcwoo2,
Centrocercus urophasianus,saggro,
Centronyx bairdii,baispa,
Centronyx henslowii,henspa,
Centropus bengalensis,lescou1,
Centropus sinensis,grecou1,
Centropus superciliosus,whbcou1,
Centropus viridis,phicou1,
Ceratopipra erythrocephala,gohman1,
Ceratopipra mentalis,recman1,
Cercomacra cinerascens,gryant2,
Cercomacra nigricans,jetant1,
Cercomacroides tyrannina,dusant1,
Cercotrichas galactotes,rtsrob1,
Cercotrichas leucophrys,rbsrob1,
Certhia americana,brncre,
Certhia brachydactyla,shttre1,
Certhia familiaris,eurtre1,
Certhiaxis cinnamomeus,yecspi2,
Ceryle rudis,piekin1,
Cettia cetti,cetwar1,
Chaetura cinereiventris,grrswi1,
Chaetura meridionalis,sicswi1,
Chaetura pelagica,chiswi,
Chaetura vauxi,vauswi,
Chalcomitra senegalensis,sccsun2,
Chalcophaps indica,emedov2,
Chamaea fasciata,wrenti,
Chamaeza campanisona,shtant1,
Charadrius alexandrinus,kenplo1,
Charadrius dubius,lirplo,
Charadrius hiaticula,corplo,
Charadrius melodus,pipplo,
Charadrius nivosus,snoplo5,
Charadrius semipalmatus,semplo,
Charadrius vociferus,killde,
Charadrius wilsonia,wilplo,
Chasiempis sandwichensis,elepai,
Chauna torquata,souscr1,
Chiroxiphia caudata,swtman1,
Chiroxiphia lanceolata,latman1,
Chiroxiphia linearis,lotman1,
Chiroxiphia pareola,blbman1,
Chlidonias hybrida,whiter2,
Chlidonias leucopterus,whwter,
Chlidonias niger,blkter,
Chlorestes cyanus,whcsap1,
Chloris chloris,eurgre1,
Chloris sinica,origre,
Chloroceryle amazona,amakin1,
Chloroceryle americana,grnkin,
Chlorodrepanis virens,hawama,
Chlorophanes spiza,grehon1,
Chlorophonia cyanea,blnchl1,
Chlorophonia cyanocephala,goreup1,
Chlorophonia elegantissima,eleeup1,
Chloropicus fuscescens,carwoo1,
Chloropsis aurifrons,goflea1,
Chloropsis cochinchinensis,blwlea1,
Chloropsis hardwickii,orblea1,
Chloropsis jerdoni,jerlea1,
Chlorornis riefferii,grgtan1,
Chlorospingus flavigularis,ytbtan1,
Chlorospingus flavopectus,cobtan1,
Chlorospingus pileatus,scbtan1,
Chlorospingus semifuscus,dubtan1,
Chlorostilbon lucidus,glbeme1,
Chlorothraupis carmioli,olitan1,
Chlorothraupis stolzmanni,ocbtan1,
Chondestes grammacus,larspa,
Chordeiles acutipennis,lesnig,
Chordeiles gundlachii,antnig,
Chordeiles minor,comnig,
Chroicocephalus genei,slbgul1,
Chroicocephalus maculipennis,brhgul2,
Chroicocephalus novaehollandiae,silgul1,
Chroicocephalus philadelphia,bongul,
Chroicocephalus ridibundus,bkhgul,
Chroicocephalus serranus,andgul1,
Chrysococcyx basalis,hobcuc1,
Chrysococcyx caprius,didcuc1,
Chrysococcyx cupreus,afecuc1,
Chrysococcyx klaas,klacuc1,
Chrysococcyx lucidus,shbcuc1,
Chrysococcyx minutillus,libcuc1,
Chrysocolaptes guttacristatus,grefla1,
Chrysolophus pictus,golphe,
Chrysomma sinense,yeebab1,
Chrysomus icterocephalus,yehbla2,
Chrysomus ruficapillus,chcbla2,
Chrysuronia oenone,gotsap1,
Ciccaba nigrolineata,bawowl1,
Ciccaba virgata,motowl,
Cichladusa guttata,spmthr1,
Ciconia ciconia,whisto1,
Cinclodes fuscus,buwcin1,
Cincloramphus mathewsi,rufson1,
Cincloramphus timoriensis,tawgra3,
Cinclus cinclus,whtdip1,
Cinclus mexicanus,amedip,
Cinnycerthia olivascens,shawre1,
Cinnycerthia unirufa,rufwre1,
Cinnyris asiaticus,pursun4,
Cinnyris chalybeus,sdcsun3,
Cinnyris jugularis,olbsun4,
Cinnyris lotenius,lobsun2,
Cinnyris talatala,whbsun2,
Cinnyris venustus,varsun2,
Circaetus gallicus,shteag1,
Circus aeruginosus,wemhar1,
Circus hudsonius,norhar2,
Circus pygargus,monhar1,
Cissa chinensis,gremag1,
Cissopis leverianus,magtan2,
Cisticola cantans,sincis1,
Cisticola chiniana,ratcis1,
Cisticola erythrops,refcis1,
Cisticola exilis,gohcis1,
Cisticola juncidis,zitcis1,
Cisticola tinniens,tincis1,
Cistothorus palustris,marwre,
Cistothorus platensis,sedwre,
Cistothorus stellaris,sedwre,
Clamator glandarius,grscuc1,
Clamator jacobinus,piecuc1,
Clangula hyemalis,lotduc,
Claravis pretiosa,blgdov1,
Clibanornis rubiginosus,rufgle1,
Cnemotriccus fuscatus,fusfly1,
Coccothraustes coccothraustes,hawfin,
Coccothraustes vespertinus,evegro,
Coccycua minuta,litcuc2,
Coccyzus americanus,yebcuc,
Coccyzus erythropthalmus,bkbcuc,
Coccyzus melacoryphus,dabcuc1,
Coccyzus minor,mancuc,
Cochlearius cochlearius,bobher1,
Coereba flaveola,banana,
Colaptes auratus,norfli,
Colaptes campestris,camfli1,
Colaptes chrysoides,gilfli,
Colaptes melanochloros,grbwoo3,
Colaptes punctigula,spbwoo1,
Colaptes rivolii,crmwoo2,
Colaptes rubiginosus,goowoo1,
Colaptes rupicola,andfli1,
Colibri coruscans,spvear1,
Colibri cyanotus,lesvio1,
Colibri delphinae,brvear1,
Colibri thalassinus,grnvie1,
Colinus cristatus,crebob1,
Colinus virginianus,norbob,
Colius striatus,spemou2,
Colluricincla harmonica,grysht1,
Colonia colonus,lottyr1,
Colorhamphus parvirostris,pattyr2,
Columba livia,rocpig,
Columba oenas,stodov1,
